Type,Tag,ID,Description
theme,Contemporary Fantasy,Kcejg6Ng6uF2PjH6IJw73,"Contemporary Fantasy is a subgenre of Fantasy that takes place in the present day. In these stories, Magic or magical creatures might exist in the real world, but the general populace is unaware of their existence or misunderstands their true nature. Manga that take place in an urban setting are also considered to be Urban Fantasies."
theme,Cooking,go0Q6DpQSClyGd-KwGDMG,"Cooking is the focus of these food-themed manga, whether the characters within attend a Culinary School, work in a Restaurant or are simply passionate home cooks. These manga may offer step-by-step Recipes for various dishes or plating techniques."
theme,Coworkers,KvUQ5-2QUTO94TwWVHokS,"This manga features coworkers: people who work together at a job, usually at the same level in the company hierarchy. The coworkers might be shown in their day-to-day Work Life, or spending their time together with drinks after work, or are shown to be involved in a Workplace Romance."
genre,Crime,gqMPS82eqszxtcF5z36AL,"Crime fiction is a genre that focuses on the planning, execution or solving of a crime. These manga typically focus on the investigation of a crime, and often include a cat-and-mouse chase between the perpetrator and the ones trying to catch them. The crime at the center of the story is traditionally a murder, though fraud, theft, money laundering, and complex criminal schemes can also be involved."
theme,Criminal,SJUGWqop2QDgEE6q1qAOH,"These manga are told from the perspective of criminals, whether they're lone wolves or a part of an organized group like the Yakuza or Mafia. The protagonists commit crimes that are punishable by law, with motives such as blackmail, profit, personal amusement, or sociopathy. Offenses committed might be thievery, drug dealing, kidnapping, serial killing, terrorism, or other forms of organized or petty crime."
theme,Crossdressing,RD-uqCOk6ferxlcOUU0nZ,"Unlike Gender Bender titles where a character undergoes a complete physical sex change, these manga showcase characters who crossdress for a secretive reason, whether it's to attend a single-sex school or to acquire a job targeted at a specific gender. The secretive, crossdressing element must be the focus of these manga to receive the tag."
theme,Crossover,FyDadnMJBua1XN4951T5_,Crossover titles showcase characters from two or more different franchises. They are often short specials for anime or extra chapters for manga.
theme,Crude,6FMnhI8MPNT85sdfMyfCR,"These manga use lowbrow humor to make you laugh, most commonly by sex jokes, toilet humor, bodily functions or crass racial stereotypes. If these manga ask you to pull their finger you should politely decline."
theme,Curse,F4kQzfBScU72bf6OWng36,"In these manga, people, objects, or even entire worlds have been cursed. Or, characters are trying to curse, or uncurse, someone or something. Curses are generally caused by malevolent magical or supernatural forces, and can have a wide range of undesirable effects. Common curses include unnatural illnesses, disasters, or being transformed against one's will into a monster or animal."
genre,Cyberpunk,Is92eNloC8s_WK9Jw8n8g,"Cyberpunk is a type of science fiction where rapid advancement of technology comes at the cost of neglecting social issues. Common themes include powerful or intelligent computers, vast cyberspace networks that can be jacked into or explored virtually, or human augmentation. Many Cyberpunk manga showcase a society that's evolved into a hyper-efficient Dystopia where human needs are secondary to a smoothly functioning corporate machine."
theme,Dancing,D2QSxIs4KUKdiIQV5tfyb,"These manga feature dancers and the art of dancing, whether it's hip hop, ballroom, ballet or other styles."
genre,Dark Comedy,mh06Oe5_wcYmFPEP2tGJG,"Dark comedy manga make humorous and comedic light of situations that people would normally find sad, frightening or mentally disturbing. Also known as Black Comedy or Dark Humor."
genre,Dark Fantasy,7C2z2xRgeWwOnBQjZJV6g,"Dark fantasy is a subgenre of Fantasy that incorporates grittier and more mature themes. These manga often contain elements of Horror, Graphic Sex, or Explicit Violence."
theme,Deal with the Devil,2gortxFzHaaInuDHmcIOD,"Characters in these manga have a need and there's only one person who can fulfill it, for a price. The \\""devil\\"" might be a merchant in a Mysterious Shop, a demon or evil being from the underworld, or any number of other individuals who offer a Faustian bargain."
theme,Delinquent,LUOwaKmRx4p5mcVKYim7-,"A delinquent is a young person, generally of school age, who has a problem with following social rules or the word of authority figures. These manga typically focus on the group dynamics of a delinquent's gang of friends, or the misadventures they get into thanks to their attitudes and actions."
theme,Demon King,Ze8hxM9TiqMRochTuqWjI,"A Demon King is the main character of these manga. Typically from Hell, this Demon Lord may still live in his fiery realm, or may have travelled to the human world to live and work. Typically male, Demon Kings can sometimes be female."
theme,Demons,q0i4W-BYw5i17BabKm0DB,"Demons are non-human entities generally believed to be dark or evil in nature. If demons are a core aspect of the work, their actions - often harmful to humans - will generally be the focus. Characters may engage in fighting demons physically; may attempt exorcisms or other rituals or spells to deal with them; or may be the demons or their servants or allies, carrying out their own agendas."
theme,Detective,yld6jB95Re2wOPuS012jT,"Detectives are people who investigate crimes. These manga feature characters who work the streets, analyze evidence from crime scenes, or research past records, using logic and reasoning to discover who did what, and how. Detectives may be members of a police force, employed by some other organization, or private citizens with a desire to learn the truth."
theme,Disability,B2hcAytgHT6b5lL-biijT,"These manga feature main characters with disabilities. They may be deaf, blind, mute, unable to walk, or have other debilitating conditions that impact their life. Some are disabled from birth, while others acquire their disability due to an Illness or injury."
theme,Dragons,PytSnMLCXGksQ_Tdr3i7S,"Dragons are huge and mighty serpentine mythological creatures, often seen as being magical in nature. These manga center on the impact of dragons - whether reimagined, extinct, or living and breathing alongside humans, and may feature dragons as major characters."
genre,Drama,psX8s5O0qGuool03DxSjx,"Drama manga heavily emphasize their characters' emotional development. Whether by experiencing the protagonist's emotional turmoil, viewing heated character interactions, or exploring a passionate romance, any manga that humanizes its characters through emphasizing their flaws qualifies as a Drama."
theme,Dream World,Mpeam4Yjzq8VMRitOMoZT,"Characters in these manga explore a person's subconscious mind, whether they're aware of their own dream world, or traverse someone else's thoughts and dreams through fantastical or technological means."
theme,Dungeon,p9P6nIEbwuGs0mFrVO3Ru,"Dungeons are the focus of these manga. The setting might take place in the dungeon, or the story might be related to one, such as dungeon management or creation. These manga typically follow adventurers who traverse the floors or levels of a dungeon to find treasure, to defeat monsters, or to exit it."
theme,Dysfunctional Family,MzOCBE8nTcFuR3h8Wrfez,"These manga focus on dysfunctional families. A major theme of these stories deal with unhealthy familial relationships such as abusive, overly-controlling, or codependent parent-child and sibling relationships. Unlike the Family Life tag, these stories have a stronger focus on Drama and the negative consequences it has for the characters."
genre,Dystopia,zgYcwbfN7eLR4KbUj6BIm,"Unlike idyllic utopias, a Dystopia is an imagined timeline where something has gone terribly wrong. In these manga, invasive, totalitarian governments might rule the populace with an iron fist and use fear as a controlling mechanism. Sentient machines, ethics violations, forced population control and corrupt justice systems are common Dystopian themes. Some Dystopias might appear to be utopias, but once you look beneath the surface, terrible secrets are exposed."
theme,Egyptian Mythology,I_4sof6C2BbcWAk_XjrPh,"These manga reference Egyptian mythology: a collection of myths involving famous Egyptian Gods, such as Ra, Anubis, or Bastet. Other well-known examples include the lion-bodied sphinx, the Egyptian Afterlife, and the tale of Isis and Osiris."
theme,Elemental Powers,2urxwQn1ikLrFlFZIEiG5,"These manga feature characters who possess elemental powers such as fire, water, wind and lightning. "
theme,Elf,ouj-Y_aGJsdLQvEN3Mx9m,"These manga feature characters who are elves. Members of elven races are often slender, have pointy ears, and have a talent for archery; but other kinds of elves exist as well, such as those that work for Santa at the north pole."
format,Episodic,ZZFC80gzGMDbaEHla61cD,Episodic manga are a collection of separate stories loosely connected by a theme or one or more central recurring characters.
theme,Espionage,6gWgpqJN4HfBgrGFkVM_l,"Espionage is the main focus of these manga. Common themes include surveillance and reconnaissance, infiltrating past enemy lines, or Spies that act as secret agents who go undercover, steal technology for their home country, or sabotage the enemy."
theme,Fake Romance,KV0EwneX_nozZv9TyVuVT,"Characters in these manga are in a pretend relationship. They are in a fake romance because of many reasons, such as one person blackmailing the other, or trying to make their real crushes jealous."
theme,Family Life,NPB9MyjjSCr_UUTKFFlCn,"These manga focus on interaction between family members, whether they are living their everyday lives together in peace, grieving together after a loss, or adjusting to changes such as moving to a new home, divorce, remarriage, or facing unexpected challenges together."
genre,Fantasy,YaMRY5kvDmKUmqCv3QTdr,"Fantasy manga take place in a broad range of settings influenced by mythologies, legends, or popular and defining works of the genre such as The Lord of the Rings. They are generally characterized by a low level of technological development, though fantasy stories can just as easily take place in our modern world, or in a Post-apocalyptic society where technology was buried alongside the old world. These manga also tend to feature magic or other extraordinary abilities, strange or mysterious creatures, or humanoid races which coexist with humanity or inhabit their own lands removed from ours."
theme,Fated Lovers,HkvVauCRP1BBRfgJrbTTk,"These manga feature couples that are destined to be together. They may have been chosen for each other by a higher power, loved each other in a past life, or live in a world where everyone has a fated soulmate that they can instinctively tell is \\""the one\\""."
theme,Feudal Japan,MyPtKIXumvp0I5GuqE1ld,"These manga take place in Japan between the Heian and Meiji eras. Common themes are typically influenced by Samurai, shinsengumi, or the shogunate, and frequently focus on warfare, travel, or rural life."
theme,Football,h3gKX1yL2mAPC9zpsDzO6,"American football is the focus of these manga. Training and competing in Tournaments or championships are common themes in Sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed."
format,Full Color,SjxSQViqJHk8REwUJxRJO,"These manga are fully drawn in color, unlike normal manga which occasionally have a few colored pages, followed by all black and white artwork. Korean and Chinese webcomics, and Film Comics, frequently have Full Color artwork."
theme,Gag Comedy,8rtgTAbIRrSLvpg2Op9Py,"Gag comedies are usually episodic, focusing on a specific pun, joke, situation, or character, for a series of episodes for anime, or one or more chapters for manga. The breakdown is similar to a single sketch in a stand-up comedy show. 4-koma manga typically use a single strip for a single joke."
theme,Gambling,EZ-L9oIhIeUVuNnVm7wNv,"You win some, you lose some. Gambling is a strong focus in these manga, from casino adventures to backroom games. Characters often gamble day in and day out for a variety of stakes: money, fame, or in the case of High Stakes Games, even more sinister consequences."
theme,Game Elements,Sw2jCC2fv58G3RtgBUg-B,"These manga contain elements commonly found in RPGs, dating sims, or other video games. Level systems, experience points, and pop-up windows showing the characters' skills, status, or relationship meters are common examples of this. The characters might focus on completing tasks and side quests to gain experience or to level up, or they might focus on defeating a main boss. The story could also possess other game-like qualities, such as working in conjunction with a System Administrator."
